Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Sudan,SSD,6.761,4.696
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Spain,ESP,1.36,1.26
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sri Lanka,LKA,2.483,2.199
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Kitts and Nevis,KNA,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Lucia,LCA,3.399,1.436
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Martin (French part),MAF,2.12,1.81
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Vincent and the Grenadines,VCT,2.956,1.891
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sudan,SDN,6.152,4.407
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Suriname,SUR,3.267,2.418
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sweden,SWE,2.13,1.76
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.58,1.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,5.309,2.808
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,5.225,3.585
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,6.213,4.892
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,2.113,1.525
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,5.478,4.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,6.185,4.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,4.644,3.556
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,2.453,1.725
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,3.476,2.197
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkey,TUR,3.107,2.069
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,4.344,2.786
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,7.091,4.955
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.844,1.301
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,4.454,1.413
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.83,1.68
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,2.081,1.7295
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,2.52,1.973
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,4.072,2.419
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,4.926,3.782
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,3.448,2.272
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vietnam,VNM,3.553,2.049
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.954,2.06
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,6.718,3.643
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,8.606,3.792
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,6.442,4.633
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,4.862,3.615
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",COD,6.746,5.919
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,5.119,4.428
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.892,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sint Maarten (Dutch part),SXM,..,..
,,,,,
,,,,,
,,,,,
Data from database: Gender Statistics,,,,,
Last Updated: 10/08/2020,,,,,
